feature,importance
session_duration_sec_log,0.3572155639492156
gap_before_sec_log,0.2293351581143561
cat_productivity,0.11576045426208399
cat_entertainment,0.0766087574524282
cat_social,0.06672956308635551
cat_education,0.061929646656268156
recent_switch_count_15min,0.04799465749098414
cat_other,0.03426569802094659
hour,0.0032452326946450305
unlock_count,0.0016704162472057124
is_night_usage,0.0013200952787072323
prev_cat_social,0.0011107445049333205
prev_cat_productivity,0.0009177407967095236
prev_cat_other,0.0006048550548280467
prev_cat_entertainment,0.00048430738932487823
prev_cat_education,0.00041586897621391776
is_weekend,0.00038390973071785026
prev_cat_none,7.330294076128087e-06
